author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"Keijser, Jan Just","Jan Just Keijser","OpenVPN 2 Cookbook","OpenVPN 2 Cookbook","9781849510103","2011-02-16T23:00:00+10:00","Packt Publishing","","1.0"
"Contributors, The","The Contributors","ownCloud","ownCloud","","0101-01-01T10:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","1.0"
"Sedliak, Milan & Anbiah, Rajesh Jeba R. & Bhattarai, Roshan","Milan Sedliak & Rajesh Jeba R. Anbiah & Roshan Bhattarai","PHP Ajax Cookbook","PHP Ajax Cookbook","9781849513081","2011-12-08T00:00:00+10:00","Packt Publishing","","1.0"
"Joshi, Vijay","Vijay Joshi","PHP jQuery Cookbook","PHP jQuery Cookbook","9781849512749","2010-12-14T00:00:00+10:00","Packt Publishing","","1.0"
"Sinnreich, Aram","Aram Sinnreich","Piracy Crusade: How the Music Industry's War on Sharing Destroys Markets and Erodes Civil Liberties, The","The Piracy Crusade: How the Music Industry's War on Sharing Destroys Markets and Erodes Civil Liberties","9781625340511","2013-12-12T00:00:00+10:00","University of Massachusetts Press","","1.0"
"Sinnreich, Aram","Aram Sinnreich","Piracy Crusade: How the Music Industry’s War on Sharing Destroys Markets and Erodes Civil Liberties, The","The Piracy Crusade: How the Music Industry’s War on Sharing Destroys Markets and Erodes Civil Liberties","9781625340511","2013-12-18T17:11:28+10:00","","","1.0"
"Various","Various","Pirate Book, The","The Pirate Book","9789619219287","2015-11-28T00:00:00+10:00","lulu","","1.0"
"Vogele, Colette","Colette Vogele","Podcasting Legal Guide","Podcasting Legal Guide","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","POL Design High","POL Design High","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","Priv Manual-Art High","Priv Manual-Art High","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","Priv3 Design High","Priv3 Design High","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","PrivTV Bible High","PrivTV Bible High","","0101-01-01T10:00:00+10:00","","","1.0"
"Shankar, Aditya Ravi","Aditya Ravi Shankar","Pro HTML5 Games","Pro HTML5 Games","9781430247104","2012-12-11T14:00:00+10:00","Apress","","1.0"
"Green, Dale","Dale Green","Procedural Content Generation for C++ Game Development","Procedural Content Generation for C++ Game Development","9781785886713","2016-01-30T00:00:00+10:00","Packt Publishing - ebooks Account","","1.0"
"Greenberg, Ira","Ira Greenberg","Processing: Creative Coding and Computational Art","Processing: Creative Coding and Computational Art","9781590596173","2007-05-30T00:00:00+10:00","friendsofED","","1.0"
"Unknown","Unknown","Progetto di reti locali lecture notes","Progetto di reti locali lecture notes","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","Programming in Lua (first edition)","Programming in Lua (first edition)","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","Protocolli e architetture di routing lecture notes","Protocolli e architetture di routing lecture notes","","0101-01-01T10:00:00+10:00","","","1.0"
"Schember, John","John Schember","Quick Start Guide","Quick Start Guide","","0101-01-01T10:00:00+10:00","","","1.0"
"McNutt, Dinah","Dinah McNutt","Release Engineering","Release Engineering","","2016-06-17T10:00:00+10:00","O'Reilly Media, Inc.","","1.0"
"Lessig, Lawrence","Lawrence Lessig","Remix: Making Art and Commerce Thrive in the Hybrid Economy","Remix: Making Art and Commerce Thrive in the Hybrid Economy","9780143116134","2009-09-29T00:00:00+10:00","Penguin Books","","1.0"
"Byrne, Rhonda","Rhonda Byrne","Secret Daily Teachings","Secret Daily Teachings","9781925030105","2013-05-18T00:00:00+10:00","Simon & Schuster Australia","","1.0"
"Byrne, Rhonda","Rhonda Byrne","Secret, The","The Secret","9781582701707","2006-11-27T23:00:00+10:00","Atria Books/Beyond Words","","1.0"
"Haring, Scott","Scott Haring","Skill Categories.qxd","Skill Categories.qxd","","2005-06-25T08:42:08+10:00","","","1.0"
